gene_id_Zm	OG	module_num	module_color	sink_source	hub_ranking_kME	description (maizeGDB's maizemine)
Zm00001eb413340	OG0008347	10	purple	sink	0.59263218	PREDICTED
Zm00001eb016080	OG0014409	10	purple	sink	0.59220506	#N/A
Zm00001eb035580	OG0014149	10	purple	sink	0.59189402	
Zm00001eb143140	OG0006792	10	purple	sink	0.58520998	Ice-structuring glycoprotein-like
Zm00001eb251130	OG0013572	10	purple	sink	0.58520591	Nitrate transporter 1.5
Zm00001eb143320	OG0011502	10	purple	sink	0.58105515	AB hydrolase-1 domain-containing protein
Zm00001eb367770	OG0005227	10	purple	sink	0.58093796	15-cis-phytoene synthase
Zm00001eb150530	OG0020679	10	purple	sink	0.5753074	50S ribosomal protein L34
Zm00001eb399300	OG0021458	10	purple	sink	0.57514997	Erythronate-4-phosphate dehydrogenase family protein
Zm00001eb283990	OG0018371	10	purple	sink	0.57453118	B-box zinc finger protein 22
Zm00001eb100360	OG0006875	10	purple	sink	0.57154122	Zinc finger protein 8
Zm00001eb314340	OG0006875	10	purple	sink	0.57154122	Zinc finger protein 8
Zm00001eb308830	OG0016565	10	purple	sink	0.57013109	Protein FLUORESCENT IN BLUE LIGHT
Zm00001eb244540	OG0022051	10	purple	sink	0.56430732	thioredoxin-like 4
Zm00001eb172450	OG0007037	10	purple	sink	0.56356416	Circadian clock associated 1
Zm00001eb210750	OG0013986	10	purple	sink	0.56129711	Polyphosphoinositide binding protein Ssh2p
Zm00001eb154830	OG0019516	10	purple	sink	0.56114795	Type I inositol polyphosphate 5-phosphatase 1
Zm00001eb206500	OG0004695	10	purple	sink	0.55747728	Citron Rho-interacting kinase-like
Zm00001eb080610	OG0024664	10	purple	sink	0.55438495	Monocarboxylate transporter 6 like
Zm00001eb064950	OG0012153	10	purple	sink	0.55232157	Ribosome-binding factor PSRP1
Zm00001eb005210	OG0002584	10	purple	sink	0.54974376	#N/A
Zm00001eb369260	OG0002584	10	purple	sink	0.54974376	VQ domain-containing protein
Zm00001eb094320	OG0002160	10	purple	sink	0.54658721	mitochondrial substrate carrier family protein C
Zm00001eb163150	OG0002160	10	purple	sink	0.54658721	Mitochondrial substrate carrier family protein
Zm00001eb338250	OG0016663	10	purple	sink	0.54390552	Non-specific serine/threonine protein kinase
Zm00001eb380020	OG0016134	10	purple	sink	0.54002519	Peptide transporter PTR5
Zm00001eb072680	OG0012376	10	purple	sink	0.539039	FLZ-type domain-containing protein
Zm00001eb215070	OG0017101	10	purple	sink	0.53503742	photosystem I assembly factor PSA3
Zm00001eb320600	OG0005837	10	purple	sink	0.53399201	Indeterminate domain p1
Zm00001eb283440	OG0007434	10	purple	sink	0.5203501	AAI domain-containing protein
Zm00001eb294870	OG0007434	10	purple	sink	0.5203501	Non-specific lipid-transfer protein 2
Zm00001eb429440	OG0007983	10	purple	sink	0.51718483	Putative glycerol-3-phosphate transporter 1
Zm00001eb070840	OG0002642	10	purple	sink	0.50605875	
Zm00001eb350060	OG0002642	10	purple	sink	0.50605875	
Zm00001eb427940	OG0002642	10	purple	sink	0.50605875	
Zm00001eb430870	OG0002642	10	purple	sink	0.50605875	
Zm00001eb003240	OG0003308	10	purple	sink	0.50525238	#N/A
Zm00001eb402820	OG0003308	10	purple	sink	0.50525238	Cytochrome P450 family 96 subfamily A polypeptide 1
Zm00001eb010540	OG0012757	10	purple	sink	0.50000349	Chaperonin 60 subunit beta 4
Zm00001eb237700	OG0015561	10	purple	sink	0.49521191	Chloroplast processing peptidase
Zm00001eb053360	OG0004884	10	purple	sink	0.48337266	HPP family protein
Zm00001eb217240	OG0004884	10	purple	sink	0.48337266	Integral membrane HPP family protein
Zm00001eb166630	OG0006590	10	purple	sink	0.48335667	Dirigent protein (Fragment)
Zm00001eb222830	OG0013442	10	purple	sink	0.48315302	Starch synthase
Zm00001eb241510	OG0006696	10	purple	sink	0.48053694	DUF1990 domain-containing protein (Fragment)
Zm00001eb059460	OG0013819	10	purple	sink	0.47726371	Transcription factor PIF4
Zm00001eb405570	OG0008573	10	purple	sink	0.47412449	Peptidylprolyl isomerase
Zm00001eb210410	OG0005347	10	purple	sink	0.47213099	ATP-dependent DNA helicase 2 subunit KU80-like
Zm00001eb210420	OG0005347	10	purple	sink	0.47213099	Pentatricopeptide repeat-containing protein
Zm00001eb049140	OG0006994	10	purple	sink	0.46757759	Peroxisomal membrane protein 2
Zm00001eb219680	OG0006994	10	purple	sink	0.46757759	Peroxisomal membrane protein 2
Zm00001eb006770	OG0006307	10	purple	sink	0.46704206	Alcohol dehydrogenase-like 7
Zm00001eb335810	OG0006947	10	purple	sink	0.46622066	Thylakoid lumenal 15 kDa protein 1
Zm00001eb066660	OG0022166	10	purple	sink	0.46607043	D-lactate dehydratase
Zm00001eb196640	OG0002561	10	purple	sink	0.46354427	Stem-specific protein TSJT1
Zm00001eb121410	OG0011749	10	purple	sink	0.46056864	Auxin-responsive protein IAA2
Zm00001eb365870	OG0008714	10	purple	sink	0.45908433	Rhodanese-like domain-containing protein 4A chloroplastic
Zm00001eb301100	OG0018521	10	purple	sink	0.45803745	FLZ-type domain-containing protein
Zm00001eb219090	OG0005724	10	purple	sink	0.45503123	Large subunit ribosomal protein L25
Zm00001eb265080	OG0007892	10	purple	sink	0.45225815	
Zm00001eb148630	OG0003087	10	purple	sink	0.44335215	Plant-specific domain TIGR01589 family protein expressed
Zm00001eb289770	OG0003087	10	purple	sink	0.44335215	Putative angiotensin-converting enzyme 2
Zm00001eb368080	OG0003087	10	purple	sink	0.44335215	
Zm00001eb258280	OG0014689	10	purple	sink	0.43641433	AarF domain kinase
Zm00001eb021830	OG0022288	10	purple	sink	0.43467949	ABC-type Co2 transport system
Zm00001eb167150	OG0004482	10	purple	sink	0.42354393	Brassinosteroid insensitive1-associated receptor kinase 1
Zm00001eb319010	OG0009197	10	purple	sink	0.42045258	E3 ubiquitin ligase BIG BROTHER
Zm00001eb260920	OG0007044	10	purple	sink	0.42023101	Hexosyltransferase
Zm00001eb192710	OG0012988	10	purple	sink	0.41836405	Lysine histidine transporter-like 3
Zm00001eb257440	OG0012988	10	purple	sink	0.41836405	Lysine histidine transporter-like 3
Zm00001eb334540	OG0008883	10	purple	sink	0.41658789	
Zm00001eb404280	OG0017316	10	purple	sink	0.41181655	DEAD-box ATP-dependent RNA helicase 50
Zm00001eb040190	OG0010907	10	purple	sink	0.38421889	Carboxylesterase 1
Zm00001eb047780	OG0011831	10	purple	sink	0.35498931	Chlorophyllase
Zm00001eb311660	OG0016547	10	purple	sink	0.35117761	Protein CHAPERONE-LIKE PROTEIN OF POR1
Zm00001eb172190	OG0010340	9	magenta	not_associated	0.92625636	Secretory carrier-associated membrane protein
Zm00001eb130400	OG0006920	9	magenta	not_associated	0.87745602	HMA domain-containing protein
Zm00001eb331150	OG0002834	9	magenta	not_associated	0.87520937	Hexosyltransferase
Zm00001eb308400	OG0001619	9	magenta	not_associated	0.86311948	S-norcoclaurine synthase
Zm00001eb332870	OG0002702	9	magenta	not_associated	0.85870429	Flavin-containing monooxygenase
Zm00001eb207660	OG0005374	9	magenta	not_associated	0.82184186	
Zm00001eb196170	OG0004339	9	magenta	not_associated	0.81694598	Major facilitator superfamily antiporter
Zm00001eb151280	OG0002080	9	magenta	not_associated	0.79937958	NAD(P)H dehydrogenase (quinone)
Zm00001eb352760	OG0002080	9	magenta	not_associated	0.79937958	NAD(P)H dehydrogenase (quinone)
Zm00001eb369750	OG0002080	9	magenta	not_associated	0.79937958	NAD(P)H dehydrogenase (quinone)
Zm00001eb127300	OG0006237	9	magenta	not_associated	0.7913657	pathogen-related protein-like
Zm00001eb313390	OG0011629	9	magenta	not_associated	0.78007616	S-adenosylmethionine decarboxylase proenzyme
Zm00001eb313400	OG0011629	9	magenta	not_associated	0.78007616	S-adenosylmethionine decarboxylase proenzyme
Zm00001eb264390	OG0005318	9	magenta	not_associated	0.76321613	
Zm00001eb410960	OG0005318	9	magenta	not_associated	0.76321613	2-oxoglutarate-dependent oxygenase
Zm00001eb245520	OG0007955	9	magenta	not_associated	0.75884834	HMA domain-containing protein
Zm00001eb193370	OG0005118	9	magenta	not_associated	0.74396781	Putative tyrosine-protein phosphatase
Zm00001eb256300	OG0005118	9	magenta	not_associated	0.74396781	Putative tyrosine-protein phosphatase
Zm00001eb078070	OG0018965	9	magenta	not_associated	0.73982738	Adenine phosphoribosyltransferase
Zm00001eb190580	OG0016336	9	magenta	not_associated	0.72411081	probable phospholipase A2 homolog 1
Zm00001eb239690	OG0015592	9	magenta	not_associated	0.72384463	Mitochondrial substrate carrier family protein B
Zm00001eb032760	OG0004336	9	magenta	not_associated	0.71273839	Small GTP binding protein Rab5
Zm00001eb065460	OG0004336	9	magenta	not_associated	0.71273839	Small GTP binding protein Rab5
Zm00001eb217750	OG0004336	9	magenta	not_associated	0.71273839	Small GTP binding protein Rab5
Zm00001eb145400	OG0008715	9	magenta	not_associated	0.69958269	Protein root UVB sensitive 6
Zm00001eb365980	OG0008715	9	magenta	not_associated	0.69958269	Protein root UVB sensitive 6
Zm00001eb066910	OG0002429	9	magenta	not_associated	0.69208822	Ubiquinol oxidase
Zm00001eb066920	OG0002429	9	magenta	not_associated	0.69208822	Ubiquinol oxidase
Zm00001eb118330	OG0018503	9	magenta	not_associated	0.69071499	Tobamovirus multiplication protein 1
Zm00001eb298130	OG0018503	9	magenta	not_associated	0.69071499	Tobamovirus multiplication protein 1
Zm00001eb071920	OG0017277	9	magenta	not_associated	0.68372067	Myb family transcription factor APL
Zm00001eb168340	OG0003635	9	magenta	not_associated	0.67286674	S4 RNA-binding domain-containing protein
Zm00001eb205590	OG0011283	9	magenta	not_associated	0.67069758	Alba domain-containing protein
Zm00001eb088800	OG0012977	9	magenta	not_associated	0.66449362	Putative cinnamyl alcohol dehydrogenase 6
Zm00001eb063640	OG0021021	9	magenta	not_associated	0.66406662	ABC family ABC transporter
Zm00001eb166450	OG0006470	9	magenta	not_associated	0.65915183	Nitrilase-associated protein
Zm00001eb168350	OG0006145	9	magenta	not_associated	0.65688085	Chitinase 1
Zm00001eb250900	OG0006145	9	magenta	not_associated	0.65688085	Chitinase 2
Zm00001eb205750	OG0010760	9	magenta	not_associated	0.65545169	
Zm00001eb235710	OG0010760	9	magenta	not_associated	0.65545169	
Zm00001eb166400	OG0004812	9	magenta	not_associated	0.65040707	Transcription factor bHLH84
Zm00001eb126670	OG0019609	9	magenta	not_associated	0.6469552	Serine/threonine-protein kinase HT1
Zm00001eb378470	OG0021520	9	magenta	not_associated	0.6424252	Short-chain dehydrogenase TIC 32
Zm00001eb235700	OG0008208	9	magenta	not_associated	0.63715331	SANT domain-containing protein
Zm00001eb279710	OG0019040	9	magenta	not_associated	0.63284544	ATP-dependent zinc metalloprotease FTSH 6
Zm00001eb384670	OG0011338	9	magenta	not_associated	0.62456652	
Zm00001eb097390	OG0008836	9	magenta	not_associated	0.62172135	GrpE protein homolog
Zm00001eb414810	OG0005785	9	magenta	not_associated	0.61232899	Phenolic glucoside malonyltransferase 2
Zm00001eb305330	OG0014947	9	magenta	not_associated	0.60691387	4-hydroxyphenylacetaldehyde oxime monooxygenase
Zm00001eb118930	OG0010228	9	magenta	not_associated	0.60635276	D-amino-acid transaminase
Zm00001eb040180	OG0014108	9	magenta	not_associated	0.60580546	Cytochrome P450 family 706 subfamily A polypeptide 5
Zm00001eb067550	OG0023458	9	magenta	not_associated	0.60547659	UDP-arabinopyranose mutase
Zm00001eb305060	OG0003791	9	magenta	not_associated	0.59810043	Aldehyde oxidase/xanthine dehydrogenase molybdopterin binding protein
Zm00001eb078790	OG0002295	9	magenta	not_associated	0.59052387	Putative calcium-binding protein CML22
Zm00001eb411350	OG0002295	9	magenta	not_associated	0.59052387	calmodulin-like protein 3
Zm00001eb001180	OG0008287	9	magenta	not_associated	0.59003971	HTP reductase
Zm00001eb120030	OG0004870	9	magenta	not_associated	0.58902142	Small nuclear ribonucleoprotein E
Zm00001eb132910	OG0004870	9	magenta	not_associated	0.58902142	
Zm00001eb338420	OG0004870	9	magenta	not_associated	0.58902142	Small nuclear ribonucleoprotein E
Zm00001eb241780	OG0014641	9	magenta	not_associated	0.58378389	
Zm00001eb232730	OG0019977	9	magenta	not_associated	0.58341861	
Zm00001eb146160	OG0005631	9	magenta	not_associated	0.57655836	DNAJ heat shock N-terminal domain-containing family protein
Zm00001eb366460	OG0005631	9	magenta	not_associated	0.57655836	Riboflavin biosynthesis protein RibD-like
Zm00001eb419580	OG0002120	9	magenta	not_associated	0.5700612	Fe2OG dioxygenase domain-containing protein
Zm00001eb221600	OG0018318	9	magenta	not_associated	0.56835358	Senescence regulator
Zm00001eb051130	OG0021796	9	magenta	not_associated	0.56479812	Toxin PezT
Zm00001eb106160	OG0004944	9	magenta	not_associated	0.56273886	Glucose-6-phosphate/phosphate translocator 2
Zm00001eb322950	OG0004944	9	magenta	not_associated	0.56273886	Glucose-6-phosphate/phosphate translocator 2
Zm00001eb378900	OG0014528	9	magenta	not_associated	0.55579025	Squalene monooxygenase 2
Zm00001eb097930	OG0014920	9	magenta	not_associated	0.55219136	BZIP domain-containing protein
Zm00001eb309420	OG0014920	9	magenta	not_associated	0.55219136	BZIP domain-containing protein
Zm00001eb049990	OG0011109	9	magenta	not_associated	0.55217155	
Zm00001eb289020	OG0011109	9	magenta	not_associated	0.55217155	
Zm00001eb098960	OG0010111	9	magenta	not_associated	0.54432558	Homeobox-leucine zipper protein HOX5
Zm00001eb051300	OG0003244	9	magenta	not_associated	0.54288541	Pleiotropic regulator PRL2
Zm00001eb077890	OG0020236	9	magenta	not_associated	0.52830916	Putative oxidoreductase (Fragment)
Zm00001eb105800	OG0010543	9	magenta	not_associated	0.52679757	Adenosine 5'-phosphosulfate reductase 2
Zm00001eb322440	OG0010543	9	magenta	not_associated	0.52679757	5'-adenylylsulfate reductase 3
Zm00001eb325340	OG0013746	9	magenta	not_associated	0.52371387	Zeamatin
Zm00001eb150260	OG0005643	9	magenta	not_associated	0.52348931	Calmodulin-2
Zm00001eb010480	OG0014444	9	magenta	not_associated	0.52001062	Chaperone protein dnaJ 11
Zm00001eb139900	OG0014770	9	magenta	not_associated	0.51614154	Transcription initiation factor IIA subunit 2
Zm00001eb073340	OG0020067	9	magenta	not_associated	0.50666957	
Zm00001eb205550	OG0011285	9	magenta	not_associated	0.50328307	transcription initiation factor TFIID subunit 15-like
Zm00001eb235450	OG0011285	9	magenta	not_associated	0.50328307	Transcription initiation factor TFIID subunit 15b-like isoform X1
Zm00001eb144580	OG0006802	9	magenta	not_associated	0.50030299	
Zm00001eb365650	OG0006802	9	magenta	not_associated	0.50030299	
Zm00001eb020360	OG0022294	9	magenta	not_associated	0.50002778	Cdk-activating kinase assembly factor
Zm00001eb393270	OG0022294	9	magenta	not_associated	0.50002778	Cdk-activating kinase assembly factor
Zm00001eb419520	OG0017123	9	magenta	not_associated	0.49831883	Thioredoxin superfamily protein
Zm00001eb070720	OG0001687	9	magenta	not_associated	0.48653665	Non-specific serine/threonine protein kinase
Zm00001eb430940	OG0001687	9	magenta	not_associated	0.48653665	Malectin domain-containing protein
Zm00001eb430990	OG0001687	9	magenta	not_associated	0.48653665	Non-specific serine/threonine protein kinase
Zm00001eb345450	OG0017375	9	magenta	not_associated	0.48030003	Vacuolar cation/proton exchanger
Zm00001eb157060	OG0013198	9	magenta	not_associated	0.4733664	
Zm00001eb360140	OG0013198	9	magenta	not_associated	0.4733664	
Zm00001eb163990	OG0002056	9	magenta	not_associated	0.464924	Trichome birefringence-like
Zm00001eb406440	OG0002056	9	magenta	not_associated	0.464924	protein trichome birefringence-like 11
Zm00001eb173090	OG0001536	9	magenta	not_associated	0.46312847	polycomb group protein FERTILIZATION-INDEPENDENT ENDOSPERM isoform X2
Zm00001eb416950	OG0001536	9	magenta	not_associated	0.46312847	Polycomb group protein FIE2
Zm00001eb249690	OG0013563	9	magenta	not_associated	0.45636211	Trehalose 6-phosphate phosphatase
Zm00001eb142450	OG0008696	9	magenta	not_associated	0.45413991	E3 ubiquitin protein ligase DRIP2
Zm00001eb363740	OG0008696	9	magenta	not_associated	0.45413991	E3 ubiquitin protein ligase DRIP2
Zm00001eb277050	OG0009804	9	magenta	not_associated	0.45005589	F-box/kelch-repeat protein At1g80440
Zm00001eb047070	OG0002283	9	magenta	not_associated	0.44958889	H( )/Pi cotransporter
Zm00001eb222510	OG0002283	9	magenta	not_associated	0.44958889	H( )/Pi cotransporter
Zm00001eb305810	OG0008845	9	magenta	not_associated	0.44849567	Starch synthase
Zm00001eb308430	OG0019546	9	magenta	not_associated	0.44646783	rhodanese-like domain-containing protein 9
Zm00001eb313860	OG0012820	9	magenta	not_associated	0.44457503	Senescence-associated family protein
Zm00001eb372600	OG0012820	9	magenta	not_associated	0.44457503	FLZ-type domain-containing protein
Zm00001eb128150	OG0007789	9	magenta	not_associated	0.44437762	PQ-loop repeat family protein / transmembrane family protein
Zm00001eb333170	OG0007789	9	magenta	not_associated	0.44437762	PQ-loop repeat family protein / transmembrane family protein
Zm00001eb240620	OG0001708	9	magenta	not_associated	0.44038147	3-ketoacyl-CoA synthase
Zm00001eb385870	OG0001708	9	magenta	not_associated	0.44038147	3-ketoacyl-CoA synthase
Zm00001eb251300	OG0020014	9	magenta	not_associated	0.42776497	SNARE associated Golgi protein family
Zm00001eb430170	OG0014043	9	magenta	not_associated	0.42699959	late embryogenesis abundant protein At5g17165
Zm00001eb143350	OG0008700	9	magenta	not_associated	0.42175234	E3 ubiquitin-protein ligase RNF4
Zm00001eb401430	OG0014464	9	magenta	not_associated	0.41800353	
Zm00001eb158420	OG0010061	9	magenta	not_associated	0.40855867	Potassium channel AKT1
Zm00001eb359320	OG0010061	9	magenta	not_associated	0.40855867	Potassium channel AKT1
Zm00001eb418090	OG0001487	9	magenta	not_associated	0.40618467	1-aminocyclopropane-1-carboxylate oxidase
Zm00001eb418130	OG0001487	9	magenta	not_associated	0.40618467	1-aminocyclopropane-1-carboxylate oxidase
Zm00001eb418140	OG0001487	9	magenta	not_associated	0.40618467	1-aminocyclopropane-1-carboxylate oxidase
Zm00001eb009730	OG0016077	9	magenta	not_associated	0.40569989	Brassinosteroid synthesis1
Zm00001eb426520	OG0002540	9	magenta	not_associated	0.40144859	Beta-glucosidase 18
Zm00001eb290480	OG0014346	9	magenta	not_associated	0.40130102	Nodulin-like domain-containing protein
Zm00001eb067410	OG0015798	9	magenta	not_associated	0.39999044	Large proline-rich protein bag6-A isoform X1
Zm00001eb423540	OG0011870	9	magenta	not_associated	0.39983959	Gamma-glutamylcyclotransferase
Zm00001eb217120	OG0010812	9	magenta	not_associated	0.39935038	1
Zm00001eb024210	OG0016906	9	magenta	not_associated	0.39770218	Methyltransferase
Zm00001eb060780	OG0015465	9	magenta	not_associated	0.39705551	Plant-specific domain TIGR01615 family protein
Zm00001eb201090	OG0003252	9	magenta	not_associated	0.39281646	
Zm00001eb261690	OG0002713	9	magenta	not_associated	0.39242203	Putative cytosolic oligopeptidase A
Zm00001eb084160	OG0022209	9	magenta	not_associated	0.38667728	1
Zm00001eb003730	OG0021162	9	magenta	not_associated	0.38412249	Tonoplast intrinsic protein 1
Zm00001eb297040	OG0006483	9	magenta	not_associated	0.38008287	
Zm00001eb166980	OG0003565	9	magenta	not_associated	0.37234595	Seryl-tRNA synthetase
Zm00001eb064340	OG0017060	9	magenta	not_associated	0.37216131	Nucleic acid-binding proteins superfamily
Zm00001eb418870	OG0009837	9	magenta	not_associated	0.37123536	RING-CH-type domain-containing protein
Zm00001eb056760	OG0013852	9	magenta	not_associated	0.37004649	Transcription factor BHLH148
Zm00001eb386320	OG0008554	9	magenta	not_associated	0.36541334	
Zm00001eb283420	OG0003394	9	magenta	not_associated	0.36532787	Tryptophan aminotransferase-related protein 2
Zm00001eb008160	OG0002638	9	magenta	not_associated	0.3646642	#N/A
Zm00001eb401100	OG0002638	9	magenta	not_associated	0.3646642	High affinity sulfate transporter 2
Zm00001eb289990	OG0002691	9	magenta	not_associated	0.3638475	Ammonium transporter
Zm00001eb141500	OG0011488	9	magenta	not_associated	0.36335226	Glucan endo-1
Zm00001eb296070	OG0022282	9	magenta	not_associated	0.36199626	Eukaryotic translation initiation factor 3 subunit D
Zm00001eb000840	OG0012414	9	magenta	not_associated	0.34612583	#N/A
Zm00001eb062510	OG0009283	9	magenta	not_associated	0.34586829	Chalcone-flavonone isomerase family protein
Zm00001eb117240	OG0002406	9	magenta	not_associated	0.34451936	Putative carboxylesterase 15
Zm00001eb309480	OG0002406	9	magenta	not_associated	0.34451936	CXE carboxylesterase
Zm00001eb040280	OG0017357	9	magenta	not_associated	0.33949521	Cytokinin dehydrogenase
Zm00001eb019770	OG0016009	9	magenta	not_associated	0.33508764	#N/A
Zm00001eb145100	OG0009973	9	magenta	not_associated	0.33423981	Alcohol dehydrogenase superfamily
Zm00001eb172520	OG0018389	9	magenta	not_associated	0.33408296	Ring zinc finger protein-like
Zm00001eb248290	OG0003835	9	magenta	not_associated	0.32035032	bifunctional nitrilase/nitrile hydratase NIT4A
Zm00001eb162740	OG0009416	9	magenta	not_associated	0.31766167	
Zm00001eb249100	OG0013561	9	magenta	not_associated	0.30762882	Cyclin
Zm00001eb433160	OG0009544	9	magenta	not_associated	0.30290308	Regulatory protein RecX
Zm00001eb191370	OG0006733	9	magenta	not_associated	0.29847262	Auxin-responsive protein IAA10
Zm00001eb110100	OG0010594	8	pink	not_associated	0.82867731	29 kDa ribonucleoprotein A
Zm00001eb328390	OG0010594	8	pink	not_associated	0.82867731	RNA recognition motif
