gene_id_Zm	OG	module_num	module_color	hub_score_kME	description (maizeGDB's maizemine)
Zm00001eb430940	OG0001687	7	black	0.3672881	Malectin domain-containing protein
Zm00001eb430990	OG0001687	7	black	0.3672881	Non-specific serine/threonine protein kinase
Zm00001eb318310	OG0007132	7	black	0.55124411	U11/U12 small nuclear ribonucleoprotein 35 kDa protein
Zm00001eb221910	OG0011823	7	black	0.72794234	PPPDE domain-containing protein
Zm00001eb090540	OG0023418	7	black	0.52376642	ER lumen protein-retaining receptor
Zm00001eb239370	OG0004702	7	black	0.57597976	E3 ubiquitin-protein ligase CCNB1IP1 homolog isoform X1
Zm00001eb239380	OG0009770	2	blue	0.87745147	Heat stress transcription factor C-2a
Zm00001eb294200	OG0017608	2	blue	0.87740957	Protein-serine/threonine phosphatase
Zm00001eb356420	OG0017608	2	blue	0.87740957	Protein-serine/threonine phosphatase
Zm00001eb281500	OG0022513	2	blue	0.86456451	Reticulon-like protein (Fragment)
Zm00001eb285360	OG0006541	2	blue	0.86090364	Dehydrin
Zm00001eb284250	OG0007908	2	blue	0.85728206	Zinc finger CCCH domain-containing protein 2
Zm00001eb350120	OG0007908	2	blue	0.85728206	C3H1-type domain-containing protein
Zm00001eb016250	OG0023104	2	blue	0.85105703	Sucrose synthase
Zm00001eb016290	OG0023104	2	blue	0.85105703	Sucrose synthase
Zm00001eb406490	OG0004313	2	blue	0.85026028	Glucomannan 4-beta-mannosyltransferase 9-like
Zm00001eb110910	OG0013772	2	blue	0.8305686	E3 ubiquitin-protein ligase SHPRH
Zm00001eb225360	OG0021129	2	blue	0.8301757	protein HEAT-STRESS-ASSOCIATED 32
Zm00001eb113490	OG0021329	2	blue	0.82578375	NADH-ubiquinone reductase complex 1 MLRQ subunit
Zm00001eb040240	OG0010906	2	blue	0.82330369	Cytochrome P450 family 78 subfamily A polypeptide 8
Zm00001eb202620	OG0010906	2	blue	0.82330369	Cytochrome P450 family 78 subfamily A polypeptide 8
Zm00001eb044080	OG0007000	2	blue	0.82072276	NA
Zm00001eb220700	OG0007000	2	blue	0.82072276	Low-temperature-induced 65 kDa protein
Zm00001eb351790	OG0020303	2	blue	0.8203319	YbhB/YbcL
Zm00001eb285170	OG0022883	2	blue	0.81928258	Eukaryotic peptide chain release factor subunit 1-3
Zm00001eb014550	OG0019312	2	blue	0.81368169	NA
Zm00001eb212150	OG0012171	2	blue	0.81248572	E3 ubiquitin-protein ligase SIRP1
Zm00001eb307340	OG0019553	2	blue	0.805424	NA
Zm00001eb215860	OG0005882	2	blue	0.8041429	NA
Zm00001eb004420	OG0012614	2	blue	0.80254758	NA
Zm00001eb403260	OG0012614	2	blue	0.80254758	Evolutionarily conserved C-terminal region 2
Zm00001eb390540	OG0013609	2	blue	0.79839548	plant intracellular Ras-group-related LRR protein 5-like
Zm00001eb098220	OG0010118	2	blue	0.79780743	Protein-serine/threonine phosphatase
Zm00001eb309920	OG0010118	2	blue	0.79780743	Protein-serine/threonine phosphatase
Zm00001eb071550	OG0006505	2	blue	0.79588092	Calcium-transporting ATPase
Zm00001eb430440	OG0006505	2	blue	0.79588092	Calcium-transporting ATPase
Zm00001eb247040	OG0009089	2	blue	0.79247164	Regulatory subunit
Zm00001eb154070	OG0013182	2	blue	0.78971146	Heat stress transcription factor C-1a
Zm00001eb051750	OG0005598	2	blue	0.78850639	Zinc finger protein 1
Zm00001eb219210	OG0005598	2	blue	0.78850639	Zinc finger protein 7
Zm00001eb207670	OG0005373	2	blue	0.7878266	NA
Zm00001eb075230	OG0020224	2	blue	0.78301375	HB homeobox transcription factor (Fragment)
Zm00001eb427650	OG0020224	2	blue	0.78301375	Homeobox-leucine zipper protein HOX24
Zm00001eb051780	OG0008970	2	blue	0.77926892	Seed maturation protein PM23
Zm00001eb219230	OG0008970	2	blue	0.77926892	MAR-binding filament-like protein
Zm00001eb371680	OG0024371	2	blue	0.77363892	Pyruvate dehydrogenase E1 component subunit alpha
Zm00001eb072360	OG0008270	2	blue	0.76913076	Zinc-binding family protein
Zm00001eb428410	OG0008270	2	blue	0.76913076	PLATZ transcription factor
Zm00001eb088070	OG0005567	2	blue	0.7666956	Protein-serine/threonine phosphatase
Zm00001eb419870	OG0005567	2	blue	0.7666956	Protein-serine/threonine phosphatase
Zm00001eb408850	OG0009446	2	blue	0.76644271	GRAM domain-containing protein
Zm00001eb012040	OG0012745	2	blue	0.76527489	NA
Zm00001eb284350	OG0013484	2	blue	0.76339518	Aquaporin TIP4-1
Zm00001eb383320	OG0017927	2	blue	0.7629287	Chaperone YajL
Zm00001eb293780	OG0004994	2	blue	0.76125745	chaperone protein ClpB1
Zm00001eb079410	OG0011022	2	blue	0.76022135	Protein-L-isoaspartate O-methyltransferase
Zm00001eb257130	OG0006097	2	blue	0.75994015	17.4 kDa class III heat shock protein
Zm00001eb311990	OG0006097	2	blue	0.75994015	17.4 kDa class III heat shock protein
Zm00001eb313950	OG0005671	2	blue	0.75952249	dormancy-associated protein homolog 3 isoform X1
Zm00001eb374110	OG0011223	2	blue	0.75871966	Ethylene-responsive transcription factor 1
Zm00001eb356910	OG0002214	2	blue	0.75765972	Thiamine thiazole synthase
Zm00001eb053830	OG0010236	2	blue	0.75410819	Nuclear transcription factor Y subunit
Zm00001eb130200	OG0014975	2	blue	0.75390758	Outer envelope pore protein 16-2
Zm00001eb192980	OG0006721	2	blue	0.7524045	DnaJ subfamily B member 6
Zm00001eb257120	OG0006721	2	blue	0.7524045	J domain-containing protein
Zm00001eb274360	OG0011286	2	blue	0.75167826	VQ domain-containing protein
Zm00001eb389870	OG0011286	2	blue	0.75167826	VQ domain-containing protein
Zm00001eb260190	OG0005783	2	blue	0.75156052	UDP-galactose transporter 1
Zm00001eb119440	OG0008932	2	blue	0.75027728	AAA domain-containing protein
Zm00001eb339080	OG0008932	2	blue	0.75027728	p-loop containing nucleoside triphosphate hydrolase superfamily protein
Zm00001eb299790	OG0018514	2	blue	0.7500278	Reticulon-like protein (Fragment)
Zm00001eb328450	OG0008103	2	blue	0.74333773	serine/arginine-rich SC35-like splicing factor SCL33
Zm00001eb398560	OG0017708	2	blue	0.74221869	Transmembrane protein
Zm00001eb311680	OG0007755	2	blue	0.73923456	Nucleobase-ascorbate transporter 6
Zm00001eb097730	OG0011655	2	blue	0.7380567	Glucose-1-phosphate adenylyltransferase
Zm00001eb294880	OG0012685	2	blue	0.73754746	AAI domain-containing protein
Zm00001eb005800	OG0008907	2	blue	0.73663691	NA
Zm00001eb122980	OG0008907	2	blue	0.73663691	Raffinose synthase
Zm00001eb130680	OG0008907	2	blue	0.73663691	NA
Zm00001eb325340	OG0013746	2	blue	0.73615922	Zeamatin
Zm00001eb287080	OG0010967	2	blue	0.73590926	Ribosomal protein (Fragment)
Zm00001eb332150	OG0011694	2	blue	0.73106186	Protein-serine/threonine phosphatase
Zm00001eb111200	OG0004678	2	blue	0.73105749	Putative histone-arginine methyltransferase 1.4
Zm00001eb259960	OG0010354	2	blue	0.73030187	Farnesylated protein 2
Zm00001eb147720	OG0005172	2	blue	0.72934967	coronatine-insensitive protein homolog 1b
Zm00001eb367310	OG0005172	2	blue	0.72934967	coronatine-insensitive protein homolog 1b
Zm00001eb062580	OG0019921	2	blue	0.72730761	ADF-H domain-containing protein
Zm00001eb059930	OG0003247	2	blue	0.72557179	Putative glutathione S-transferase GSTU1
Zm00001eb422580	OG0008377	2	blue	0.72498398	F-box protein 7
Zm00001eb194500	OG0008006	2	blue	0.72443623	Aldehyde oxygenase (deformylating)
Zm00001eb254570	OG0008006	2	blue	0.72443623	Aldehyde oxygenase (deformylating)
Zm00001eb225200	OG0005922	2	blue	0.72369934	Early nodulin-like protein 2
Zm00001eb288390	OG0020293	2	blue	0.72244005	F-box protein SKP2A
Zm00001eb241150	OG0012949	2	blue	0.72150358	RING-type E3 ubiquitin transferase
Zm00001eb331760	OG0015349	2	blue	0.71955808	Peptidase A1 domain-containing protein
Zm00001eb397980	OG0003333	2	blue	0.71903382	Serine/arginine-rich splicing factor SR45a
Zm00001eb424040	OG0003333	2	blue	0.71903382	Serine/arginine-rich splicing factor SR45a
Zm00001eb030010	OG0004331	2	blue	0.71269724	Putative E3 ubiquitin-protein ligase RHY1A
Zm00001eb145580	OG0007675	2	blue	0.71249106	NAC domain-containing protein
Zm00001eb160900	OG0003509	2	blue	0.7121785	NA
Zm00001eb160910	OG0003509	2	blue	0.7121785	NA
Zm00001eb160920	OG0003509	2	blue	0.7121785	NA
Zm00001eb160930	OG0003509	2	blue	0.7121785	NA
Zm00001eb160940	OG0003509	2	blue	0.7121785	NA
Zm00001eb160960	OG0003509	2	blue	0.7121785	NA
Zm00001eb160970	OG0003509	2	blue	0.7121785	NA
Zm00001eb160980	OG0003509	2	blue	0.7121785	NA
Zm00001eb302900	OG0003509	2	blue	0.7121785	NA
Zm00001eb103490	OG0009201	2	blue	0.71185943	Two-component response regulator-like PRR95
Zm00001eb319590	OG0009201	2	blue	0.71185943	Two-component response regulator-like PRR95
Zm00001eb190380	OG0010434	2	blue	0.71114467	E3 ubiquitin protein ligase RIE1
Zm00001eb253840	OG0010434	2	blue	0.71114467	E3 ubiquitin-protein ligase At4g11680 family
Zm00001eb336570	OG0010434	2	blue	0.71114467	NA
Zm00001eb004630	OG0017751	2	blue	0.70964275	delta-like protein C
Zm00001eb122110	OG0008914	2	blue	0.70782261	Gigantea
Zm00001eb337600	OG0008914	2	blue	0.70782261	Gigantea
Zm00001eb173100	OG0015158	2	blue	0.70647243	Tryptophan synthase
Zm00001eb416990	OG0015158	2	blue	0.70647243	Tryptophan synthase
Zm00001eb354150	OG0003817	2	blue	0.7057451	Translocator protein-like protein
Zm00001eb228180	OG0009902	2	blue	0.70441586	NEP1-interacting protein 1
Zm00001eb178700	OG0014136	2	blue	0.70381775	Pre-mRNA cleavage factor Im 25 kDa subunit
Zm00001eb318150	OG0002833	2	blue	0.70132527	4-hydroxy-7-methoxy-3-oxo-3
Zm00001eb201730	OG0012642	2	blue	0.70078329	Tubulin alpha-6 chain
Zm00001eb117030	OG0010480	2	blue	0.70026581	NA
Zm00001eb301060	OG0010480	2	blue	0.70026581	NA
Zm00001eb002100	OG0012792	2	blue	0.69992994	NA
Zm00001eb062170	OG0005867	2	blue	0.6957314	Stress-induced transcription factor NAC1
Zm00001eb212120	OG0005867	2	blue	0.6957314	Stress-induced transcription factor NAC1
Zm00001eb440720	OG0005867	2	blue	0.6957314	NAC domain-containing protein
Zm00001eb440730	OG0005867	2	blue	0.6957314	NA
Zm00001eb388760	OG0009794	2	blue	0.69490551	NA
Zm00001eb037600	OG0005012	2	blue	0.69427174	Heat stress transcription factor B-2b
Zm00001eb198620	OG0005012	2	blue	0.69427174	Heat stress transcription factor B-2b
Zm00001eb064540	OG0009271	2	blue	0.69294095	Integral membrane protein
Zm00001eb402440	OG0014473	2	blue	0.69281555	NA
Zm00001eb237960	OG0018727	2	blue	0.69106529	Phosphate regulatory homolog1
Zm00001eb018180	OG0016021	2	blue	0.69075431	Glucan endo-1
Zm00001eb394050	OG0016021	2	blue	0.69075431	Glucan endo-1
Zm00001eb187010	OG0006337	2	blue	0.68830703	Dehydrin
Zm00001eb250120	OG0006337	2	blue	0.68830703	Dehydrin
Zm00001eb140290	OG0002581	2	blue	0.6863861	Peroxidase
Zm00001eb332290	OG0018227	2	blue	0.68625305	Retrotransposon protein SINE subclass
Zm00001eb011080	OG0005272	2	blue	0.6859505	Phosphoenolpyruvate carboxykinase (ATP)
Zm00001eb398370	OG0005272	2	blue	0.6859505	Phosphoenolpyruvate carboxykinase (ATP)
Zm00001eb048370	OG0007879	2	blue	0.68585487	Cyclic dof factor 2
Zm00001eb223240	OG0007879	2	blue	0.68585487	Cyclic dof factor 2
Zm00001eb384760	OG0012938	2	blue	0.68555551	Heat stress transcription factor C-2a
Zm00001eb336950	OG0016648	2	blue	0.68422022	C2 domain-containing protein
Zm00001eb143300	OG0008699	2	blue	0.68359971	Stearoyl-[acyl-carrier-protein] 9-desaturase 2
Zm00001eb364580	OG0008699	2	blue	0.68359971	Stearoyl-acyl-carrier-protein desaturase1
Zm00001eb175990	OG0005943	2	blue	0.68323471	NA
Zm00001eb133000	OG0010860	2	blue	0.68234991	Auxin response factor
Zm00001eb408800	OG0010860	2	blue	0.68234991	Auxin response factor
Zm00001eb387450	OG0011325	2	blue	0.68169471	NA
Zm00001eb215900	OG0015494	2	blue	0.68126314	Glucan endo-1
Zm00001eb319040	OG0015494	2	blue	0.68126314	Putative glucan-endo-1
Zm00001eb365040	OG0001819	2	blue	0.68077434	NA
Zm00001eb409910	OG0018417	2	blue	0.68059628	soluble starch synthase 2-3
Zm00001eb426280	OG0015838	2	blue	0.68019008	Transcription factor MYB62
Zm00001eb396330	OG0021433	2	blue	0.67930743	Acetate/butyrate--CoA ligase AAE7
Zm00001eb060780	OG0015465	2	blue	0.67877936	Plant-specific domain TIGR01615 family protein
Zm00001eb149500	OG0014819	2	blue	0.67750199	RING-H2 finger protein ATL74
Zm00001eb424620	OG0020248	2	blue	0.67597342	ATP-dependent 6-phosphofructokinase
Zm00001eb167910	OG0018054	2	blue	0.67552279	Sucrose-phosphate synthase
Zm00001eb157490	OG0004844	2	blue	0.67525814	WRKY domain-containing protein
Zm00001eb359740	OG0004844	2	blue	0.67525814	WRKY domain-containing protein
Zm00001eb060990	OG0008149	2	blue	0.67451655	RING-type domain-containing protein
Zm00001eb078880	OG0017474	2	blue	0.67426636	Serine/threonine-protein kinase PBS1
Zm00001eb320650	OG0015355	2	blue	0.67320978	15-cis-phytoene synthase
Zm00001eb293570	OG0015976	2	blue	0.67184825	Oxidative stress 3
Zm00001eb353580	OG0015976	2	blue	0.67184825	Oxidative stress 3
Zm00001eb296990	OG0020159	2	blue	0.67145016	Glucose-1-phosphate adenylyltransferase
Zm00001eb187730	OG0011966	2	blue	0.6713912	PLATZ transcription factor
Zm00001eb251230	OG0011966	2	blue	0.6713912	PLATZ transcription factor
Zm00001eb037690	OG0017355	2	blue	0.6708518	Glutamate decarboxylase
Zm00001eb124380	OG0002800	2	blue	0.67074613	Metallothionein-like protein type 2
Zm00001eb124800	OG0002800	2	blue	0.67074613	NA
Zm00001eb335880	OG0002800	2	blue	0.67074613	Metallothionein-like protein type 2
Zm00001eb016850	OG0009012	2	blue	0.67071078	UDP-glucose 4-epimerase 2
Zm00001eb326900	OG0013749	2	blue	0.67051355	Ninja-family protein 6
Zm00001eb357690	OG0001481	2	blue	0.66942291	Aldo/keto reductase family oxidoreductase
Zm00001eb358310	OG0001481	2	blue	0.66942291	Auxin-induced protein PCNT115
Zm00001eb079310	OG0017476	2	blue	0.66837402	Steroid nuclear receptor ligand-binding
Zm00001eb066910	OG0002429	2	blue	0.6681114	Ubiquinol oxidase
Zm00001eb066920	OG0002429	2	blue	0.6681114	Ubiquinol oxidase
Zm00001eb389190	OG0004778	2	blue	0.66681324	B box-type domain-containing protein
Zm00001eb020330	OG0019104	2	blue	0.66456599	chaperone protein ClpB3
Zm00001eb393250	OG0019104	2	blue	0.66456599	Chaperone protein ClpB3
Zm00001eb414270	OG0015143	2	blue	0.66392243	F-box/kelch-repeat protein At1g51550
Zm00001eb400020	OG0014452	2	blue	0.663407	Heat shock 70 kDa protein 8
Zm00001eb030220	OG0016344	2	blue	0.66231559	Early-responsive to dehydration protein
Zm00001eb041900	OG0008312	2	blue	0.66067966	KANADI like transcription factor
Zm00001eb179280	OG0008312	2	blue	0.66067966	Voltage-dependent L-type calcium channel subunit
Zm00001eb398940	OG0020414	2	blue	0.66009994	Senescence domain-containing protein
Zm00001eb100770	OG0005319	2	blue	0.66004343	Heat stress transcription factor B-2b
Zm00001eb314890	OG0005319	2	blue	0.66004343	Heat stress transcription factor B-2b
Zm00001eb421070	OG0015883	2	blue	0.65927481	Large proline-rich protein
Zm00001eb060680	OG0021034	2	blue	0.6590537	Stem-specific protein TSJT1
Zm00001eb165470	OG0008220	2	blue	0.65898209	FLZ-type domain-containing protein
Zm00001eb245880	OG0008220	2	blue	0.65898209	FLZ-type domain-containing protein
Zm00001eb295750	OG0019080	2	blue	0.65847862	Protein DEHYDRATION-INDUCED 19
Zm00001eb004490	OG0017752	2	blue	0.65531505	NA
Zm00001eb184470	OG0018428	2	blue	0.65497009	S-adenosylmethionine decarboxylase proenzyme
Zm00001eb157170	OG0007721	2	blue	0.65485705	Adenine nucleotide alpha hydrolase-like superfamily protein
Zm00001eb224230	OG0021900	2	blue	0.65306936	39 kDa EF-Hand containing protein
Zm00001eb271520	OG0014510	2	blue	0.65265129	Ethylene-responsive transcription factor ERF008
Zm00001eb375580	OG0014510	2	blue	0.65265129	Ethylene-responsive transcription factor
Zm00001eb403640	OG0018812	2	blue	0.65033548	Putative phosphoribosylanthranilate transferase
Zm00001eb408580	OG0014393	2	blue	0.64999174	Tryptamine 5-hydrolase
Zm00001eb352470	OG0019063	2	blue	0.64941423	SNF1-related protein kinase regulatory subunit beta-1
Zm00001eb141990	OG0016418	2	blue	0.64864891	Spermatogenesis-associated protein 20
Zm00001eb240440	OG0015889	2	blue	0.64797849	ADP
Zm00001eb195010	OG0001802	2	blue	0.64728388	Ferritin
Zm00001eb404870	OG0001802	2	blue	0.64728388	Ferritin
Zm00001eb378280	OG0019253	2	blue	0.6465098	H15 domain-containing protein
Zm00001eb240700	OG0005546	2	blue	0.64270532	Cysteine proteinase 1
Zm00001eb189940	OG0010430	2	blue	0.64158728	Potassium transporter
Zm00001eb253500	OG0010430	2	blue	0.64158728	Potassium transporter
Zm00001eb072870	OG0008268	2	blue	0.64000271	HTH myb-type domain-containing protein
Zm00001eb428070	OG0008268	2	blue	0.64000271	HTH myb-type domain-containing protein
